station_id,station_name,station_name_full,zone,zone_full,municipality,state,latitude,longitude,altitude_masl,pollutants_measured,is_active,notes
ACO,Acolman,Acolman — EdoMex,NE,Noreste,Acolman,Estado de México,19.6355,-98.9120,2198,O3;NO;NO2;NOx;CO;SO2;PM10,TRUE,Estación NE per Gaceta Oficial CDMX 28/05/2019; coords cat_estacion.csv SIMAT
AJM,Ajusco Medio,Ajusco Medio — Tlalpan,SO,Suroeste,Tlalpan,Ciudad de México,19.2722,-99.2077,2548,O3;NO;NO2;NOx;CO;SO2;PM10;PM25,TRUE,Zona SO per simat-entornos.pdf Tabla 2
AJU,Ajusco,Ajusco — Tlalpan (sitio de fondo),SO,Suroeste,Tlalpan,Ciudad de México,19.1543,-99.1626,2942,O3;NO;NO2;NOx;CO;SO2;PM10,TRUE,Sitio de fondo (background) en el bosque del Ajusco
ATI,Atizapán,Atizapán de Zaragoza — EdoMex,NO,Noroeste,Atizapán de Zaragoza,Estado de México,19.5770,-99.2541,2341,O3;NO;NO2;NOx;CO;SO2;PM10,TRUE,
BJU,Benito Juárez,Benito Juárez — CDMX,CE,Centro,Benito Juárez,Ciudad de México,19.3705,-99.1596,2249,O3;NO2;CO;SO2;PM10;PM25,TRUE,BJU original cerrada en 2005; reinstalada en azotea delegacional posteriormente
CAM,Camarones,Camarones — Azcapotzalco,NO,Noroeste,Azcapotzalco,Ciudad de México,19.4684,-99.1698,2233,O3;NO;NO2;NOx;CO;SO2;PM10;PM25,TRUE,
CCA,Centro de Ciencias de la Atmósfera,CCA — UNAM Coyoacán,SO,Suroeste,Coyoacán,Ciudad de México,19.3261,-99.1761,2294,O3;NO;NO2;NOx;CO;SO2;PM25,TRUE,Operada en convenio con UNAM (Centro de Ciencias de la Atmósfera)
CHO,Chalco,Chalco — EdoMex,SE,Sureste,Chalco,Estado de México,19.2669,-98.8861,2253,O3;NO;NO2;NOx;CO;SO2;PM10,TRUE,
CUA,Cuajimalpa,Cuajimalpa de Morelos — CDMX,SO,Suroeste,Cuajimalpa de Morelos,Ciudad de México,19.3654,-99.2912,2704,O3;NO;NO2;NOx;CO;SO2;PM10,TRUE,Coordenada en INECC (18.8128;-98.9553) es errónea; se usa la del cat_estacion.csv SIMAT que corresponde a Cuajimalpa CDMX
CUT,Cuautitlán,Cuautitlán — EdoMex,NO,Noroeste,Cuautitlán Izcalli,Estado de México,19.7220,-99.1986,2280,O3;NO;NO2;NOx;CO;SO2;PM10,TRUE,
FAC,FES Acatlán,FES-Acatlán — Naucalpan UNAM,NO,Noroeste,Naucalpan de Juárez,Estado de México,19.4823,-99.2433,2299,O3;NO;NO2;NOx;CO;SO2;PM10,TRUE,Operada en convenio con UNAM; sustituyó a EAC (ENEP Acatlán) histórica
FAR,FES Aragón,FES-Aragón — Nezahualcóyotl/GAM,NE,Noreste,Nezahualcóyotl,Estado de México,19.4733,-99.0464,2240,O3;NO2;CO;SO2;PM25,TRUE,Operada en convenio con UNAM; municipio NEZ en EdoMex (campus FES Aragón); coords cat_estacion.csv
GAM,Gustavo A. Madero,Gustavo A. Madero — CDMX,NE,Noreste,Gustavo A. Madero,Ciudad de México,19.4827,-99.0946,2244,O3;NO2;PM10;PM25,TRUE,Coordenadas confirmadas en SINAICA
HGM,Hospital General de México,HGM — Cuauhtémoc,CE,Centro,Cuauhtémoc,Ciudad de México,19.4114,-99.1514,2234,O3;NO;NO2;NOx;CO;SO2;PM10;PM25,TRUE,
INN,Investigaciones Nucleares,ININ — Ocoyoacac (sitio de fondo SO),SO,Suroeste,Ocoyoacac,Estado de México,19.2920,-99.3805,3082,O3;NO;NO2;NOx;CO;SO2;PM10,TRUE,Sitio de fondo operado en convenio con ININ
IZT,Iztacalco,Iztacalco — CDMX,CE,Centro,Iztacalco,Ciudad de México,19.3844,-99.1176,2238,O3;NO;NO2;NOx;CO;SO2;PM10,TRUE,
LLA,Los Laureles,Los Laureles — Ecatepec,NE,Noreste,Ecatepec de Morelos,Estado de México,19.5788,-99.0397,2230,O3;NO;NO2;NOx;CO;SO2,TRUE,No mide PM en esta estación según SINAICA
LPR,La Presa,La Presa — Tlalnepantla,NE,Noreste,Tlalnepantla de Baz,Estado de México,19.5347,-99.1177,2302,O3;NO;NO2;NOx;CO;SO2,TRUE,NOTA: aunque la alcaldía/municipio Tlalnepantla está en zona NO según Gaceta esta estación específica se clasifica históricamente NE por su entorno (Ecatepec); confirmar con SEDEMA
MER,Merced,Merced — Venustiano Carranza,CE,Centro,Venustiano Carranza,Ciudad de México,19.4246,-99.1196,2245,O3;NO;NO2;NOx;CO;SO2;PM10;PM25,TRUE,Estación de referencia histórica desde 1986
